NormalizedLevenshtein_0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0,2.0,0.184210526316,0.0,0.450453757069,0.202908587258
NormalizedLevenshtein_0.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0526315789474,0.0,0.223296878269,0.0498614958449
NormalizedLevenshtein_0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0526315789474,0.0,0.223296878269,0.0498614958449
NormalizedLevenshtein_0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0526315789474,0.0,0.223296878269,0.0498614958449
Jaccard_0.35,4,0,0,0,1,12,1,0,0,0,0,6,0,5,0,0,0,0,0,20,1,2,4,6,3,1,0,1,0,4,1,4,2,5,1,5,0,0,2,0.0,20.0,2.28947368421,1.0,3.86555568782,14.9425207756
Jaccard_0.4,3,0,0,0,1,7,1,0,0,0,0,4,0,4,0,0,0,0,0,18,0,2,2,3,2,1,0,1,0,4,1,4,2,5,1,5,0,0,2,0.0,18.0,1.84210526316,1.0,3.21612970894,10.3434903047
Jaccard_0.45,3,0,0,0,1,2,1,0,0,0,0,4,0,3,0,0,0,0,0,9,0,2,1,1,1,0,0,0,0,3,0,3,2,3,0,3,0,0,2,0.0,9.0,1.07894736842,0.0,1.76786488748,3.12534626039
Jaccard_0.5,2,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,8,0,2,0,0,1,0,0,0,0,1,0,3,0,3,0,3,0,0,0,0.0,8.0,0.710526315789,0.0,1.58791314122,2.52146814404
Jaccard_0.55,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0.0,5.0,0.342105263158,0.0,0.953561628,0.909279778393
Jaccard_0.6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0.0,4.0,0.289473684211,0.0,0.757693686784,0.574099722992
Jaccard_0.65,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0.0,1.0,0.184210526316,0.0,0.387655785859,0.15027700831
Jaccard_0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0,1.0,0.131578947368,0.0,0.338032436281,0.114265927978
Jaccard_0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0,1.0,0.131578947368,0.0,0.338032436281,0.114265927978
Jaccard_0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0,1.0,0.131578947368,0.0,0.338032436281,0.114265927978
Jaccard_0.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0526315789474,0.0,0.223296878269,0.0498614958449
Jaccard_0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0526315789474,0.0,0.223296878269,0.0498614958449
Jaccard_0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0526315789474,0.0,0.223296878269,0.0498614958449
JaroWinkler_0.35,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,0.0,0.0
JaroWinkler_0.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,0.0,0.0
JaroWinkler_0.45,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,0.0,0.0
JaroWinkler_0.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,0.0,0.0
JaroWinkler_0.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,0.0,0.0
JaroWinkler_0.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,28,100,100,100,30,100,100,100,100,28.0,100.0,96.2631578947,100.0,15.8557381453,251.404432133
JaroWinkler_0.65,100,100,45,100,30,100,44,62,64,44,100,58,100,100,100,100,100,100,64,100,100,85,100,49,100,100,71,100,100,18,11,63,28,48,12,86,26,32,40,11.0,100.0,70.5263157895,78.0,30.8628006729,952.512465374
JaroWinkler_0.7,37,12,3,18,21,40,6,0,12,6,3,18,16,97,8,21,22,10,7,52,13,20,12,4,57,16,12,21,20,1,2,10,2,6,6,13,0,0,6,0.0,97.0,15.6052631579,12.0,18.4427128295,340.13365651
JaroWinkler_0.75,17,1,1,2,8,24,2,0,4,5,0,14,2,50,2,8,6,1,3,19,1,10,3,2,42,1,7,2,5,1,1,1,0,1,4,1,0,0,0,0.0,50.0,6.15789473684,2.0,10.7642838171,115.869806094
JaroWinkler_0.8,14,0,1,0,4,18,2,0,0,5,0,9,0,48,0,3,3,1,3,17,1,4,1,1,32,0,3,1,3,0,1,0,0,1,1,0,0,0,0,0.0,48.0,4.28947368421,1.0,9.51151074042,90.4688365651
JaroWinkler_0.85,11,0,0,0,4,10,1,0,0,4,0,5,0,2,0,0,1,0,0,4,1,3,1,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0.0,10.0,1.13157894737,0.0,2.05414923651,4.21952908587
JaroWinkler_0.9,3,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.236842105263,0.0,0.534800037708,0.286011080332
JaroWinkler_0.95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0789473684211,0.0,0.354042738081,0.125346260388
